width	height	count
3508	2360	71
4961	3298	44
3508	2329	40
3508	2358	38
4961	3316	35
3508	2317	34
4961	3282	34
3508	2357	34
4961	3296	34
3508	2332	33
3508	2323	32
3508	2359	32
3508	2320	32
3508	2365	30
4961	3315	29
4961	3297	29
3508	2355	29
3508	2342	28
4961	3279	28
4961	3283	28
3508	2366	27
3508	2347	27
4961	3300	27
3508	2362	26
4961	3277	26
4961	3295	25
4961	3278	25
3508	2361	24
4961	3302	24
3508	2367	24
3508	2353	23
3508	2322	23
3508	2346	23
4961	3313	23
3508	2354	23
3508	2344	23
4961	3284	23
4961	3291	22
4961	3588	22
4961	3301	22
4961	3293	22
4961	3286	22
4961	3294	22
3508	2337	22
4961	3317	22
3508	2363	21
4961	3565	21
4961	3281	21
4961	3319	20
3508	2333	19
4961	3299	19
3508	2368	19
4961	3318	19
4961	3320	19
3508	2345	19
3508	2335	18
4961	3275	18
3508	2324	18
3508	2356	18
3508	2339	18
4961	3280	18
4961	3589	18
3508	2352	18
4961	3605	17
4961	3554	17
3508	2336	17
4961	3590	17
4961	3604	17
3508	2331	17
4961	3304	17
4961	3553	16
3508	2334	16
4961	3586	16
3508	2319	16
4961	3332	16
3508	2313	16
4961	3571	16
4961	3630	16
3508	2328	16
4961	3324	16
4961	3585	15
4961	3555	15
4961	3314	15
3508	2316	15
4961	3312	15
3508	2327	15
3508	2321	15
2360	3508	15
4961	3276	15
4961	3534	15
4961	3575	14
3508	2330	14
3508	2325	14
3508	2340	14
4961	3598	14
3508	2348	14
4961	3289	14
3508	2341	14
4961	3537	14
4961	3568	14
3508	2318	14
3508	2349	14
4961	3303	14
4961	3572	14
4961	3535	14
4961	3311	14
4961	3536	14
4961	3520	13
4961	3610	13
4961	3539	13
4961	3545	13
4961	3563	13
4961	3581	13
4961	3547	12
4961	3603	12
3508	2351	12
3508	2314	12
4961	3549	12
4961	3559	12
4961	3544	12
4961	3564	12
4961	3595	12
4961	3321	12
4961	3542	12
4961	3287	12
4961	3288	12
4961	3532	12
4961	3602	11
4961	3623	11
3508	2343	11
4961	3292	11
4961	3587	11
4961	3639	11
4961	3576	11
4961	3591	11
4961	3606	11
4961	3592	11
4961	3619	11
4961	3570	11
4961	3596	11
3508	2312	11
4961	3560	10
3508	2364	10
4961	3541	10
4961	3593	10
4961	3573	10
4961	3594	10
4961	3543	10
4961	3546	10
4961	3274	10
4961	3583	10
4961	3609	10
4961	3548	10
4961	3617	10
4961	3601	10
4961	3569	10
4961	3556	10
4961	3580	10
4961	3551	10
6302	4336	10
4961	3607	9
4961	3645	9
4961	3625	9
4961	3335	9
4961	3533	9
4961	3358	9
4961	3329	9
4961	3469	9
4961	3518	9
4961	3488	9
3508	2326	9
4961	3499	9
4961	3322	9
4961	3500	9
4961	3323	9
4961	3577	9
4961	3624	9
4961	3514	9
4961	3638	9
4961	3584	9
4961	3550	9
4961	3507	8
4961	3484	8
4961	3634	8
4961	3522	8
4961	3578	8
4961	3527	8
4961	3470	8
4961	3529	8
4961	3566	8
4961	3344	8
4961	3608	8
4961	3337	8
4961	3327	8
4928	3253	8
4961	3343	8
4961	3538	8
4961	3330	8
4961	3307	8
4961	3636	8
4928	3285	8
3508	2315	8
4961	3561	8
4961	3468	8
4961	3521	8
4961	3574	7
4961	3640	7
4961	3504	7
4961	3600	7
4961	3328	7
4961	3579	7
4961	3526	7
4961	3305	7
4961	3552	7
4961	3480	7
4961	3651	7
4961	3510	7
4961	3622	7
4961	3582	7
4961	3525	7
4961	3562	7
4961	3501	7
4961	3558	7
4961	3530	7
4961	3671	7
4961	3474	7
3324	4961	7
4961	3285	7
3298	4961	7
3508	2369	7
4961	3340	7
4961	3338	7
4961	3359	7
2314	3508	6
4894	3302	6
2317	3508	6
4952	3290	6
5131	3434	6
4961	3346	6
4961	3612	6
4961	3356	6
3508	2370	6
4961	3357	6
4961	3508	6
6498	4552	6
2344	3508	6
4961	3362	6
3292	4961	6
4961	3373	6
4961	3616	6
4961	3399	6
4961	3626	6
4961	3416	6
4961	3632	6
4961	3567	6
4961	3668	6
4961	3459	6
3508	2293	6
4961	3273	6
4961	3597	6
3508	2350	6
4961	3519	6
4961	3471	6
3281	4961	6
4961	3473	6
4961	3326	6
4961	3306	6
4961	3613	6
4961	3475	6
4961	3618	6
3508	2299	6
3333	4961	6
4961	3308	6
4961	3627	6
4961	3309	6
4961	3631	6
4961	3494	6
4961	3540	6
4961	3496	6
4961	3339	6
3508	2311	6
4961	3502	6
2330	3508	6
4961	3633	5
4961	3310	5
4961	3643	5
4961	3517	5
4961	3270	5
4961	3349	5
4961	3383	5
4961	3476	5
3508	2298	5
4961	3478	5
4961	3331	5
3508	2338	5
2320	3508	5
2365	3508	5
4961	3635	5
2367	3508	5
4480	2989	5
4961	3425	5
6299	4395	5
4961	3483	5
3316	4961	5
4961	3528	5
3508	2309	5
2316	3508	5
4961	3271	5
4961	3449	5
2319	3508	5
4961	3611	5
4961	3379	5
4961	3557	5
4961	3334	5
4961	3354	5
3508	2372	5
4961	3461	5
4961	3336	5
4961	3531	5
4961	3641	5
4961	3497	5
4961	3385	5
3313	4961	5
4961	3655	5
4961	3620	5
6333	4375	5
4961	3621	5
5922	4016	5
4961	3511	5
4961	3341	5
4961	3512	5
2332	3508	5
4961	3361	5
4961	3363	5
4961	3260	4
3330	4961	4
3318	4961	4
3508	2290	4
4958	3604	4
2342	3508	4
4961	3437	4
2315	3508	4
5869	4242	4
4961	3325	4
4958	3569	4
3282	4961	4
4961	3628	4
4961	3481	4
4961	3637	4
4961	3482	4
4961	3649	4
3508	2303	4
4961	3677	4
3508	2304	4
4961	3272	4
4961	3485	4
6626	4575	4
3508	2307	4
4961	3382	4
4961	3490	4
4961	3389	4
2356	3508	4
4961	3394	4
3508	2371	4
4961	3409	4
3296	4961	4
4961	3429	4
4961	3498	4
4961	3444	4
4961	3333	4
4961	3452	4
3297	4961	4
3320	4961	4
4886	3261	4
4961	3694	4
2357	3508	4
6079	4075	4
4961	3503	4
3326	4961	4
4894	3303	4
6548	4531	4
4961	3506	4
6640	4607	4
4915	3244	4
4961	3381	4
4922	3283	4
4958	3572	4
4923	3283	4
4961	3387	4
4924	3284	4
4961	3392	4
4961	3342	4
4961	3393	4
3301	4961	4
4961	3395	4
4961	3515	4
4961	3402	4
2358	3508	4
4961	3267	4
4936	3292	4
4961	3268	4
4961	3347	4
4961	3435	4
4950	3284	4
4961	3438	4
