width	height	count
12000	12000	100
3508	2360	71
4961	3298	44
3508	2329	40
3508	2358	37
4961	3296	34
4961	3282	34
4961	3316	34
3508	2357	34
3508	2317	33
3508	2323	32
3508	2359	32
3508	2320	32
4961	3297	30
3508	2332	30
3508	2365	30
4961	3315	29
3508	2355	29
4961	3283	28
4961	3300	28
3508	2366	27
3508	2347	27
4961	3279	26
3508	2362	26
4961	3295	25
4961	3277	24
4961	3302	24
3508	2361	24
3508	2367	24
4961	3588	23
4961	3313	23
4961	3278	23
3508	2354	23
3508	2322	23
3508	2344	23
4961	3317	22
4961	3293	22
4961	3294	22
4961	3286	22
4961	3291	22
4961	3284	22
3508	2353	22
3508	2342	22
3508	2346	22
4961	3565	21
4961	3281	21
4961	3301	21
3508	2363	21
4961	3319	20
4961	3299	20
3508	2337	20
3508	2368	19
3508	2345	19
3508	2339	19
4961	3275	18
4961	3320	18
4961	3589	18
4961	3318	18
3508	2324	18
3508	2333	18
4961	3604	17
4961	3586	17
4961	3554	17
4961	3605	17
3508	2356	17
3508	2352	17
3508	2335	17
3508	2331	17
4961	3553	16
4961	3324	16
4961	3280	16
4961	3304	16
4961	3630	16
4961	3590	16
3508	2336	16
3508	2319	16
3508	2328	16
4961	3312	15
4961	3332	15
4961	3537	15
4961	3289	15
4961	3571	15
4961	3555	15
4961	3585	15
4961	3276	15
4961	3536	15
4961	3534	15
4961	3314	15
3508	2321	15
3508	2316	15
3508	2327	15
3508	2313	15
2360	3508	15
4961	3581	14
4961	3311	14
4961	3539	14
4961	3568	14
4961	3288	14
4961	3572	14
4961	3303	14
4961	3545	14
4961	3535	14
3508	2318	14
3508	2349	14
3508	2334	14
3508	2325	14
3508	2341	14
3508	2348	14
6744	4649	13
4961	3520	13
4961	3532	13
4961	3598	13
4961	3563	13
4961	3522	13
4961	3610	13
4961	3575	13
4961	3547	13
4961	3544	13
3508	2330	13
6798	4638	12
6772	4637	12
4961	3591	12
4961	3559	12
4961	3287	12
4961	3603	12
4961	3514	12
4961	3564	12
4961	3595	12
4961	3549	12
4961	3541	12
3508	2351	12
6302	4336	11
4961	3596	11
4961	3556	11
4961	3469	11
4961	3292	11
4961	3321	11
4961	3576	11
4961	3510	11
4961	3639	11
4961	3548	11
4961	3619	11
4961	3602	11
4961	3542	11
4961	3570	11
4961	3587	11
4961	3592	11
4961	3623	11
4961	3499	11
3508	2314	11
3508	2343	11
3508	2340	11
4961	3323	10
4961	3501	10
4961	3573	10
4961	3617	10
4961	3483	10
4961	3551	10
4961	3583	10
4961	3546	10
4961	3560	10
4961	3543	10
4961	3500	10
4961	3609	10
4961	3594	10
4961	3606	10
4961	3593	10
4961	3601	10
4961	3580	10
4961	3518	10
4961	3569	10
4961	3507	10
4961	3274	10
4961	3502	10
4961	3379	10
3508	2312	10
3508	2364	10
6384	4406	9
4961	3624	9
4961	3550	9
4961	3638	9
4961	3468	9
4961	3527	9
4961	3399	9
4961	3607	9
4961	3358	9
4961	3584	9
4961	3335	9
4961	3533	9
4961	3330	9
4961	3625	9
4961	3329	9
4961	3488	9
4961	3521	9
4961	3322	9
3508	2326	9
8457	5993	8
8123	5771	8
6768	4634	8
6406	4398	8
4961	3359	8
4961	3529	8
4961	3470	8
4961	3356	8
4961	3496	8
4961	3634	8
4961	3574	8
4961	3344	8
4961	3394	8
4961	3398	8
4961	3566	8
4961	3307	8
4961	3561	8
4961	3645	8
4961	3538	8
4961	3578	8
4961	3577	8
4961	3512	8
4961	3385	8
4928	3285	8
4928	3253	8
3652	2834	8
3648	2778	8
3508	2315	8
6778	4635	7
5258	3494	7
5200	3575	7
4961	3636	7
4961	3497	7
4961	3475	7
4961	3327	7
4961	3474	7
4961	3582	7
4961	3530	7
4961	3622	7
4961	3651	7
4961	3516	7
4961	3459	7
4961	3552	7
4961	3421	7
4961	3504	7
4961	3416	7
4961	3579	7
4961	3414	7
4961	3285	7
4961	3613	7
4961	3484	7
4961	3396	7
4961	3480	7
4961	3526	7
4961	3328	7
4961	3387	7
4961	3326	7
4961	3618	7
4961	3640	7
4961	3383	7
4961	3508	7
4961	3525	7
4961	3305	7
4961	3373	7
4961	3503	7
4961	3363	7
4961	3671	7
4961	3608	7
4961	3494	7
4961	3357	7
4961	3600	7
4961	3562	7
4961	3343	7
4961	3558	7
4961	3340	7
4961	3338	7
4961	3337	7
3664	2781	7
3636	2830	7
3620	2798	7
3585	2787	7
3508	2369	7
3324	4961	7
8245	5819	6
8232	5836	6
6816	4712	6
6773	4777	6
6697	4683	6
6498	4552	6
6426	4429	6
6329	4335	6
6268	4330	6
5200	3553	6
5131	3434	6
4961	3626	6
4961	3449	6
4961	3409	6
4961	3346	6
4961	3271	6
4961	3506	6
4961	3309	6
4961	3528	6
4961	3308	6
4961	3557	6
4961	3471	6
4961	3306	6
4961	3519	6
4961	3417	6
4961	3381	6
4961	3616	6
4961	3408	6
4961	3339	6
4961	3361	6
4961	3473	6
4961	3432	6
4961	3597	6
4961	3632	6
4961	3482	6
4961	3631	6
4961	3540	6
4961	3612	6
4894	3302	6
3711	2781	6
3676	2781	6
3660	2712	6
3658	2787	6
3658	2798	6
3658	2816	6
3652	2704	6
3646	2763	6
3646	2710	6
3646	2863	6
3646	2775	6
3640	2769	6
3628	2781	6
3600	2830	6
3600	2778	6
3508	2372	6
3508	2370	6
3508	2350	6
3333	4961	6
3298	4961	6
3292	4961	6
3281	4961	6
2344	3508	6
2330	3508	6
2317	3508	6
2314	3508	6
8449	5983	5
8445	5959	5
8440	5973	5
8376	5923	5
8232	5843	5
8230	5814	5
6934	4775	5
6780	4649	5
6780	4625	5
6759	4655	5
6636	4566	5
6441	4427	5
6391	4384	5
6333	4375	5
6299	4395	5
6282	4346	5
6061	4198	5
5922	4016	5
5200	3549	5
4961	3333	5
4961	3655	5
4961	3621	5
4961	3366	5
4961	3643	5
4961	3517	5
4961	3461	5
4961	3515	5
4961	3362	5
4961	3438	5
4961	3635	5
4961	3334	5
4961	3405	5
4961	3611	5
4961	3668	5
4961	3523	5
4961	3374	5
4961	3310	5
4961	3273	5
4961	3402	5
4961	3267	5
4961	3431	5
4961	3511	5
4961	3429	5
4961	3641	5
4961	3349	5
4961	3567	5
4961	3426	5
4961	3490	5
4961	3395	5
4961	3444	5
4961	3633	5
4961	3411	5
4961	3424	5
4961	3378	5
4961	3341	5
4961	3375	5
4961	3620	5
4961	3392	5
4961	3531	5
4961	3476	5
4961	3272	5
4961	3458	5
4961	3270	5
4961	3465	5
4961	3232	5
4961	3481	5
4961	3627	5
4961	3336	5
4961	3382	5
4961	3331	5
4961	3452	5
4480	2989	5
3699	2810	5
3693	2722	5
3687	2834	5
3670	2787	5
3670	2781	5
3664	2804	5
3664	2757	5
3658	2775	5
3658	2769	5
3658	2757	5
3654	2856	5
3652	2769	5
3652	2745	5
3652	2775	5
3652	2710	5
3652	2804	5
3646	2798	5
3642	2718	5
3640	2781	5
3640	2775	5
3636	2778	5
3634	2781	5
3630	2772	5
3628	2854	5
3624	2830	5
3622	2769	5
3620	2741	5
3616	2830	5
3600	2806	5
3600	2854	5
3590	2776	5
3590	2790	5
3585	2802	5
3508	2311	5
3508	2338	5
3508	2298	5
3508	2299	5
3316	4961	5
3313	4961	5
3301	4961	5
3090	3420	5
2367	3508	5
2365	3508	5
2332	3508	5
2320	3508	5
2319	3508	5
2316	3508	5
8456	5949	4
8455	6007	4
8424	6002	4
8325	5890	4
8322	5833	4
8256	5878	4
8241	5816	4
8229	5829	4
8217	5805	4
8087	5739	4
7057	4807	4
6868	4758	4
6829	4714	4
6818	4709	4
6816	4702	4
6814	4681	4
6809	4694	4
6797	4684	4
6783	4671	4
6772	4638	4
6765	4633	4
6747	4652	4
6746	4663	4
6735	4657	4
6733	4652	4
6728	4679	4
6719	4667	4
6710	4625	4
6697	4573	4
6696	4649	4
6655	4559	4
6640	4607	4
6627	4667	4
6626	4575	4
6620	4582	4
6583	4551	4
6561	4499	4
6548	4531	4
6505	4466	4
6472	4457	4
6471	4453	4
6471	4446	4
6440	4425	4
6425	4399	4
6404	4425	4
6374	4400	4
6285	4333	4
