x	y	count
0	0	3
0	1	7
1	1	9
1	2	9
1	3	2
2	0	1
2	1	3
2	2	7
2	3	40
2	4	48
20	14	1
20	18	1
23	23	0.1
3	1	2
3	2	11
3	3	26
3	4	94
3	5	84
3	6	1
4	13	1
4	2	8
4	3	42
4	4	23
4	5	54
4	6	63
4	7	241
4	8	7
5	10	1
5	2	3
5	3	243
5	4	148
5	5	36
5	6	831
5	7	219
5	8	17
5	9	2
6	10	14
6	11	1
6	12	1
6	13	1
6	3	2
6	4	182
6	5	1124
6	6	1238
6	7	690
6	8	28
6	9	419
7	10	62
7	11	21
7	12	6
7	13	2
7	3	8
7	4	1611
7	5	7338
7	6	145
7	7	12
7	8	3
7	9	22
8	10	17
8	11	75
8	12	207
8	13	87
8	4	10
8	5	111
8	6	70
8	7	2
8	8	350
8	9	22
9	10	6
9	11	25
9	12	146
9	13	259
9	14	4
9	5	73
9	6	3174
9	7	1835
9	8	33
9	9	80
10	10	59
10	11	1
10	12	6
10	13	2
10	14	1
10	15	1
10	4	1
10	5	4
10	6	138
10	7	548
10	8	37
10	9	25
11	10	5
11	16	19
11	5	1
11	6	7
11	7	379
11	8	1555
11	9	376
12	10	93
12	16	1
12	4	2
12	5	3
12	6	7
12	7	102
12	8	7138
12	9	2725
13	10	34
13	4	2
13	6	7
13	7	28
13	8	758
13	9	12488
14	10	38
14	11	6
14	8	2
14	9	46
15	10	109
15	11	84
15	12	4
15	3	1
16	10	2
16	11	1997
16	12	34
16	23	1
16	8	1
17	11	48
19	16	1
