File:CH-NB - (Bauernhaus im Entlebuch) - Collection Gugelmann - GS-GUGE-SCHMID-DA-C-6.tif	2015-03-23T16:16:22Z	Kelson	Public domain	All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|David Alois Schmid|Entlebuch (district)|Farmhouses in Switzerland in art|GWToolset Batch Upload|Historical images of the canton of Lucerne|Laundry in art|Media contributed by the Swiss National Library	69416552	5700	4058	Phase One
File:CH-NB - (Offizier) - Collection Gugelmann - GS-GUGE-FEYERABEND-E-28.tif	2015-02-20T17:36:04Z	Swiss National Library	Public domain	1793 in Switzerland|1793 paintings|All media supported by Wikimedia CH|Artworks without Wikidata item|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Franz Feyerabend|GWToolset Batch Upload|Historical uniforms of Switzerland|Media contributed by the Swiss National Library|Soldiers of Switzerland	30161996	2953	5112	NIKON CORPORATION
File:CH-NB - (Sankt Gallerin) - Collection Gugelmann - GS-GUGE-LORY-E-8.tif	2015-03-27T09:54:00Z	Kelson	Public domain	1804 in Switzerland|1804 paintings|19th-century profile portrait paintings of women, facing right|All media supported by Wikimedia CH|Artworks without Wikidata item|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Fashion in 1804|GWToolset Batch Upload|Gabriel Lory (fils)|Historical images of the canton of St. Gallen|History of St. Gallen|Media contributed by the Swiss National Library|Traditional costumes of the canton of St. Gallen	58495898	4149	6554	NIKON CORPORATION
File:CH-NB - (Steffisbourg) - Collection Gugelmann - GS-GUGE-WEIBEL-C-8.tif	2015-03-23T16:37:54Z	Kelson	Public domain	All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Family in art|Farmhouses in Switzerland in art|GWToolset Batch Upload|Historical images of the canton of Bern|Jakob Samuel Weibel|Media contributed by the Swiss National Library|Steffisburg	38484458	5700	3654	NIKON CORPORATION
File:CH-NB - -Landschaft mit Turm- - Collection Gugelmann - GS-GUGE-2-a-5-2.tif	2017-04-05T13:07:03Z	Swiss National Library	Public domain	All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|GWToolset Batch Upload|Media contributed by the Swiss National Library	7677960	2020	1258	Phase One
File:CH-NB - 1268, von den alten Zürcher Chronisten vermutete Zerstörung der Burg Baldern durch die Zürcher - Collection Gugelmann - GS-GUGE-FÜSSLI-JM-1-6.tif	2015-02-20T18:08:32Z	Swiss National Library	Public domain	1720 engravings|All media supported by Wikimedia CH|Andreas Hofer (engraver)|Author died more than 100 years ago public domain images|Burg Baldern|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Engravings of castles in Switzerland|GWToolset Batch Upload|Historical images of the canton of Zürich|Johann Melchior Füssli|Martin Engelbrecht|Media contributed by the Swiss National Library|Regensberger Fehde	52438984	5700	4127	NIKON CORPORATION
File:CH-NB - 1268, Zerstörung der Burg auf dem Uetliberg durch die Zürcher - Collection Gugelmann - GS-GUGE-FÜSSLI-JM-1-4.tif	2015-02-20T18:06:38Z	Swiss National Library	Public domain	1720 engravings|All media supported by Wikimedia CH|Andreas Hofer (engraver)|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Engravings of castles in Switzerland|GWToolset Batch Upload|Historical images of the canton of Zürich|Johann Melchior Füssli|Martin Engelbrecht|Media contributed by the Swiss National Library|Regensberger Fehde|Uetliberg	51415372	5700	4053	NIKON CORPORATION
File:CH-NB - 1268, Zerstörung der Burg Uznaberg durch Rudolf von Habsburg - Collection Gugelmann - GS-GUGE-FÜSSLI-JM-1-8.tif	2015-02-20T18:08:16Z	Swiss National Library	Public domain	1720 engravings|All media supported by Wikimedia CH|Andreas Hofer (engraver)|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Engravings of castles in Switzerland|GWToolset Batch Upload|Historical images of the canton of St. Gallen|Johann Melchior Füssli|Martin Engelbrecht|Media contributed by the Swiss National Library|Regensberger Fehde|Uznaburg	51981748	5700	3906	NIKON CORPORATION
File:CH-NB - 1268, Zerstörung der Burg Wulp durch Rudolf von Habsburg und die Zürcher - Collection Gugelmann - GS-GUGE-FÜSSLI-JM-1-7.tif	2015-02-20T18:07:51Z	Swiss National Library	Public domain	1720 engravings|All media supported by Wikimedia CH|Andreas Hofer (engraver)|Author died more than 100 years ago public domain images|Burg Wulp|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Engravings of castles in Switzerland|Fire in art|GWToolset Batch Upload|Historical images of the canton of Zürich|Johann Melchior Füssli|Martin Engelbrecht|Media contributed by the Swiss National Library|Regensberger Fehde	50035694	5700	4019	NIKON CORPORATION
File:CH-NB - 1268, Zerstörung von Städtchen und Burg Glanzenberg durch Zürich und Graf Rudolf von Habsburg - Collection Gugelmann - GS-GUGE-FÜSSLI-JM-1-5.tif	2015-02-20T18:06:31Z	Swiss National Library	Public domain	1720 engravings|All media supported by Wikimedia CH|Andreas Hofer (engraver)|Author died more than 100 years ago public domain images|Burg Glanzenberg|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Engravings of castles in Switzerland|GWToolset Batch Upload|Historical images of the canton of Zürich|Johann Melchior Füssli|Martin Engelbrecht|Media contributed by the Swiss National Library|Regensberger Fehde|Städtchen Glanzenberg	48446064	5700	3963	NIKON CORPORATION
File:CH-NB - 1789, Musterung im Kanton Bern - Collection Gugelmann - GS-GUGE-KÖNIG-C-43.tif	2015-02-28T11:05:03Z	Swiss National Library	Public domain	1789 in Switzerland|1823 lithographs|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Franz Niklaus König|GWToolset Batch Upload|Historical images of the canton of Bern|Media contributed by the Swiss National Library|Military history of Switzerland|Musterung	34164812	5700	4105	NIKON CORPORATION
File:CH-NB - 1789, Retour du Conseil général à Genève - Collection Gugelmann - GS-GUGE-GEISSLER-A-1.tif	2015-03-27T09:54:40Z	Kelson	Public domain	1789 etchings|1789 in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Christian Gottlieb Geissler|Collection Gugelmann|GWToolset Batch Upload|Historical images of Geneva|Media contributed by the Swiss National Library	87610160	5906	4943	Phase One
File:CH-NB - 1792, Zuzug eidgenössischer Truppen in Basel - Collection Gugelmann - GS-GUGE-KELLER-R-F-1.tif	2015-02-28T10:22:17Z	Swiss National Library	Public domain	1792 engravings|1792 in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|Baselstab|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|Engravings of handshakes|GWToolset Batch Upload|Historical flags of Switzerland|Historical images of Basel|Media contributed by the Swiss National Library|Military history of Switzerland|Reinhardt Keller	50078756	3254	5127	Canon
File:CH-NB - 1795 - Collection Gugelmann - GS-GUGE-ASCHMANN-B-3.tif	2015-02-20T15:52:36Z	Swiss National Library	Public domain	1795 engravings|1795 in Switzerland|All media supported by Wikimedia CH|Author died more than 100 years ago public domain images|CC-PD-Mark|CH-NB-Collection Gugelmann|Collection Gugelmann|GWToolset Batch Upload|Historical images of the canton of Zürich|Johann Jakob Aschmann|Knights in art|Landsgemeinde|Media contributed by the Swiss National Library|Mettmenstetten|Politics in art	82538400	6142	4478	Phase One
