id	file	title	date	place	medium	dimensions	width	height	photographer
1	File:Dornier Do K ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-07.tiff	Flugzeug am Boden	1931-1937	Switzerland	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
2	File:Dornier Do K ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-08.tiff	Flugzeug am Boden	1931-1937	Switzerland	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
3	File:Dornier Do K ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-09.tiff	Flugzeug am Boden	1931-1937	Switzerland	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
4	File:Dornier Do K ETH-BIB-Gruppe Männer vor Flugzeug-Inlandflüge-LBS MH05-72-10.tiff	Gruppe Männer vor Flugzeug	1931-1937	Switzerland	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
5	File:ETH-BIB - französische Flugzeuge am Kap Juby - Tschadseeflug 1930-31-LBS MH02-08-1076.tiff	Französische Flugzeuge am Kap Juby	1930-1931	Marokko	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
6	File:ETH-BIB-(B-747-300-SUD) Buchs (Zürich) aus 500 m-Inlandflüge-LBS MH01-002881.tif	(B-747-300-SUD) Buchs (Zürich) aus 500 m	1922	Kloten	Reprofotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
7	File:ETH-BIB--Abessinienflug 1934-.tif	-	ca. 3/1934	-	Fotografie : Negativ	-	-		-
8	File:ETH-BIB--Inlandflüge-.tif	-	1919	-	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Creator:Schwarz/weiss
9	File:ETH-BIB--Inlandflüge-LBS MH03-1559.tif	-	1918-1937	-	Fotografie : Silbergelatine-Abzug	13 x 18 cm	18	13	Walter Mittelholzer
10	File:ETH-BIB--Kehris?- Kohrudgebirge aus 3000 m Höhe-Persienflug 1924-1925-LBS MH02-02-0146-AL-FL.tif	-	February 1925	Iran	Fotografie : Papierabzug, auf Papier montiert	12 x 17 cm	17	12	Walter Mittelholzer
11	File:ETH-BIB--Kehris?- Kohrudgebirge von Norden aus 2600 m Höhe-Persienflug 1924-1925-LBS MH02-02-0145-AL-FL.tif	-	February 1925	Iran	Fotografie : Papierabzug, auf Papier montiert	12 x 17 cm	17	12	Walter Mittelholzer
12	File:ETH-BIB--Kilimanjaroflug 1929-30-.tif	Dettenbühl (Wiedlisbach), Armenanstalt	-	-	-	-	-	-	Walter Mittelholzer
13	File:ETH-BIB--Mittelmeerflug 1928-.tif	-	-	-	Fotografie : Negativ	-	-	-	Walter Mittelholzer
14	File:ETH-BIB--Persienflug 1924-1925-.tif	Baden, Firma F. Merker & Co Metallwarenfabrik	January 1925	Bagdad	Fotografie : Papierabzug, auf Papier montiert	-	-	-	Walter Mittelholzer
15	File:ETH-BIB--Tschadseeflug 1930-31-.tif	Ermatingen, Blechemballagen-Fabrik		-	Fotografie : Negativ	-	-	-	Walter Mittelholzer
16	File:ETH-BIB--Weitere-.tif	-	-	-	Fotografie : Negativ	-	-	-	Walter Mittelholzer
17	File:ETH-BIB-2 Männer, Fokker im Hintergrund-Tschadseeflug 1930-31-LBS MH02-08-0338.tif	2 Männer, Fokker im Hintergrund	1930-1931	Afrika	Fotografie : Negativ	9 x 12 cm	12	9	Walter Mittelholzer
18	File:ETH-BIB-A 20 auf Flugplatz von Buschehr-Persienflug 1924-1925-LBS MH02-02-0207-AL-FL.tif	A 20 auf Flugplatz von Buschehr	February 1925	Buschehr	Fotografie : Papierabzug, auf Papier montiert	12 x 17 cm	17	12	Walter Mittelholzer
19	File:ETH-BIB-A 20 auf Flugplatz von Buschehr-Persienflug 1924-1925-LBS MH02-02-0208-AL-FL.tif	A 20 auf Flugplatz von Buschehr	February 1925	Buschehr	Fotografie : Papierabzug, auf Papier montiert	12 x 17 cm	17	12	Walter Mittelholzer
20	File:ETH-BIB-Aadorf v. O. aus 500 m-Inlandflüge-LBS MH01-005727.tif	Hafen von Barcelona mit Sicht über die Altstadt	1929	Aadorf	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
21	File:ETH-BIB-Aadorf v. S. O. aus 300 m-Inlandflüge-LBS MH01-002608.tif	Aadorf v. S. O. aus 300 m	1920	Aadorf	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
22	File:ETH-BIB-Aadorf v. S. O. aus 500 m-Inlandflüge-LBS MH01-005726.tif	Aadorf v. S. O. aus 500 m	1929	Aadorf	Fotografie : Glasplattennegativ	13 x 18 cm	18	13	Walter Mittelholzer
23	File:ETH-BIB-Aadorf v. S. O.-Inlandflüge-LBS MH01-006728.tif	Aadorf v. S. O.	22.04.32	Aadorf	Fotografie : Negativ	13 x 18 cm	18	13	Walter Mittelholzer
