title	timestamp	category
ETH-BIB-Frauenfeld,_Übersicht_aus_2100_m-Inlandflüge-LBS_MH01-002529.tif	2016-12-22T12:55:42Z	1918 aerial photographs of Switzerland|Aerial photographs of Frauenfeld|All media supported by Wikimedia CH|CC-PD-Mark|ETH-BIB Mittelholzer-Inland flights|GWToolset Batch Upload|Historical photographs of Frauenfeld|Media contributed by the ETH-Bibliothek|PD-old-75
ETH-BIB-Frauenfeld_aus_1400_m-Inlandflüge-LBS_MH01-002531.tif	2016-12-22T12:56:03Z	1918 aerial photographs of Switzerland|Aerial photographs of Frauenfeld|All media supported by Wikimedia CH|CC-PD-Mark|ETH-BIB Mittelholzer-Inland flights|GWToolset Batch Upload|Historical photographs of Frauenfeld|Media contributed by the ETH-Bibliothek|PD-old-75
ETH-BIB-Frauenfeld,_Bahnhof,_Kaserne_aus_1400_m-Inlandflüge-LBS_MH01-002532.tif	2016-12-22T12:57:34Z	1918 aerial photographs of Switzerland|Aerial photographs of Frauenfeld|All media supported by Wikimedia CH|CC-PD-Mark|ETH-BIB Mittelholzer-Inland flights|GWToolset Batch Upload|Historical photographs of Frauenfeld|Media contributed by the ETH-Bibliothek|PD-old-75
ETH-BIB-Diessenhofen,_Gailingen_v._S._O._aus_200_m-Inlandflüge-LBS_MH01-001847.tif	2016-12-15T18:56:07Z	1919 aerial photographs of Switzerland|Aerial photographs by Walter Mittelholzer|Aerial photographs of Diessenhofen|All media supported by Wikimedia CH|CC-PD-Mark|ETH-BIB Mittelholzer-Inland flights|GWToolset Batch Upload|Gailingen am Hochrhein|Historical photographs of Diessenhofen|Media contributed by the ETH-Bibliothek|PD-old-75
ETH-BIB-Diessenhofen,_Gailingen-Inlandflüge-LBS_MH01-001846.tif	2016-12-15T18:57:03Z	1919 aerial photographs of Switzerland|Aerial photographs by Walter Mittelholzer|Aerial photographs of Diessenhofen|All media supported by Wikimedia CH|CC-PD-Mark|ETH-BIB Mittelholzer-Inland flights|GWToolset Batch Upload|Historical photographs of Diessenhofen|Media contributed by the ETH-Bibliothek|PD-old-75
ETH-BIB-Frauenfeld,_Zentrum_aus_400_m-Inlandflüge-LBS_MH01-000634.tif	2016-12-15T13:50:16Z	1919 aerial photographs of Switzerland|Aerial photographs by Walter Mittelholzer|Aerial photographs of Frauenfeld|All media supported by Wikimedia CH|CC-PD-Mark|ETH-BIB Mittelholzer-Inland flights|GWToolset Batch Upload|Historical photographs of Frauenfeld|Media contributed by the ETH-Bibliothek|PD-old-75
ETH-BIB-Frauenfeld_v._O._aus_800_m-Inlandflüge-LBS_MH01-000648.tif	2016-12-15T13:53:16Z	1919 aerial photographs of Switzerland|Aerial photographs by Walter Mittelholzer|Aerial photographs of Frauenfeld|All media supported by Wikimedia CH|CC-PD-Mark|ETH-BIB Mittelholzer-Inland flights|GWToolset Batch Upload|Historical photographs of Frauenfeld|Media contributed by the ETH-Bibliothek|PD-old-75
ETH-BIB-Kreuzlingen_m._Konstanz,_Hafen_aus_200_m-Inlandflüge-LBS_MH01-001877.tif	2016-12-15T20:05:09Z	1919 aerial photographs of Switzerland|Aerial photographs by Walter Mittelholzer|Aerial photographs of Kreuzlingen|All media supported by Wikimedia CH|CC-PD-Mark|ETH-BIB Mittelholzer-Inland flights|GWToolset Batch Upload|Historical photographs of Konstanz|Historical photographs of Kreuzlingen|Media contributed by the ETH-Bibliothek|PD-old-75
ETH-BIB-Kreuzlingen,_Bahnhof-Inlandflüge-LBS_MH01-001879.tif	2016-12-15T19:05:15Z	1919 aerial photographs of Switzerland|Aerial photographs by Walter Mittelholzer|Aerial photographs of Kreuzlingen|All media supported by Wikimedia CH|CC-PD-Mark|ETH-BIB Mittelholzer-Inland flights|GWToolset Batch Upload|Historical photographs of Kreuzlingen|Media contributed by the ETH-Bibliothek|PD-old-75
ETH-BIB-Kreuzlingen,_Seminar_aus_100_m-Inlandflüge-LBS_MH01-001876.tif	2016-12-15T19:05:18Z	1919 aerial photographs of Switzerland|Aerial photographs by Walter Mittelholzer|Aerial photographs of Kreuzlingen|All media supported by Wikimedia CH|CC-PD-Mark|ETH-BIB Mittelholzer-Inland flights|GWToolset Batch Upload|Historical photographs of Kreuzlingen|Kloster Kreuzlingen|Media contributed by the ETH-Bibliothek|PD-old-75
ETH-BIB-Ste-Inlandflüge-4577.tif	2016-12-15T20:03:13Z	1919 aerial photographs of Switzerland|Aerial photographs by Walter Mittelholzer|Aerial photographs of Steckborn|All media supported by Wikimedia CH|CC-PD-Mark|ETH-BIB Mittelholzer-Inland flights|Files with no machine-readable author|GWToolset Batch Upload|Historical photographs of Steckborn|Media contributed by the ETH-Bibliothek|PD-old-75
ETH-BIB-Steckborn_aus_100_m-Inlandflüge-LBS_MH01-001874.tif	2016-12-15T19:03:38Z	1919 aerial photographs of Switzerland|Aerial photographs by Walter Mittelholzer|Aerial photographs of Steckborn|All media supported by Wikimedia CH|CC-PD-Mark|ETH-BIB Mittelholzer-Inland flights|GWToolset Batch Upload|Historical photographs of Steckborn|Media contributed by the ETH-Bibliothek|PD-old-75
ETH-BIB-Steckborn_aus_100_m-Inlandflüge-LBS_MH01-001872.tif	2016-12-15T19:03:54Z	1919 aerial photographs of Switzerland|Aerial photographs by Walter Mittelholzer|Aerial photographs of Steckborn|All media supported by Wikimedia CH|CC-PD-Mark|ETH-BIB Mittelholzer-Inland flights|GWToolset Batch Upload|Historical photographs of Steckborn|Media contributed by the ETH-Bibliothek|PD-old-75
ETH-BIB-Steckborn_v._S._aus_200_m-Inlandflüge-LBS_MH01-001836.tif	2016-12-15T20:55:01Z	1919 aerial photographs of Switzerland|Aerial photographs by Walter Mittelholzer|Aerial photographs of Steckborn|All media supported by Wikimedia CH|CC-PD-Mark|ETH-BIB Mittelholzer-Inland flights|GWToolset Batch Upload|Historical photographs of Steckborn|Media contributed by the ETH-Bibliothek|PD-old-75
