id	fle	w	c	o	tot
0	File:Aettenschwil 1953.jpg	1	1	0	2
1	File:AJZ Zürich ETH Bildarchiv Com L30-0048-0825.tif	1	0	0	1
2	File:BassersdorffJVogt-19890513i.jpg	1	3	0	4
3	File:BassersdorffJVogt-19890513i.tif	0	2	0	2
4	File:BassersdorffSchatz-19801028iv.jpg	0	2	0	2
5	File:BassersdorffSchatz-19810519i.jpg	0	1	0	1
6	File:BassersdorffSchatz-19810519i.tif	0	2	0	2
7	File:BassersdorffSchatz-19810519ii.jpg	0	2	0	2
8	File:BassersdorffSchatz-19810519ii.tif	0	2	0	2
9	File:BassersdorffSwissair-19610618i.jpg	0	2	0	2
10	File:BassersdorffSwissair-19610618i.tif	0	2	0	2
11	File:BassersdorffSwissair-19650804i.jpg	0	2	0	2
12	File:BassersdorffSwissair-19650804i.tif	0	2	0	2
13	File:BassersdorffSwissair-19700713i.jpg	0	2	0	2
14	File:BassersdorffSwissair-19700713i.tif	1	2	0	3
15	File:BassersdorffSwissair-19700713ii.jpg	0	2	0	2
16	File:BassersdorffSwissair-19700713ii.tif	0	2	0	2
17	File:BassersdorffSwissair-19730615i.jpg	0	2	0	2
18	File:BassersdorffSwissair-19730615i.tif	0	2	0	2
19	File:BassersdorffSwissair-19770911i.jpg	0	2	0	2
20	File:BassersdorffSwissair-19770911i.tif	0	2	0	2
21	File:BassersdorffSwissair-19780725i.jpg	0	2	0	2
22	File:BassersdorffSwissair-19780725i.tif	0	2	0	2
23	File:BassersdorffSwissair-19800912i.jpg	0	2	0	2
24	File:BassersdorffSwissair-19800912i.tif	0	2	0	2
25	File:BassersdorffSwissair-19800912ii.jpg	0	2	0	2
26	File:BassersdorffSwissair-19800912ii.tif	0	2	0	2
27	File:BassersdorffSwissair-19800912iii.jpg	0	2	0	2
28	File:BassersdorffSwissair-19800912iii.tif	0	2	0	2
29	File:BassersdorffSwissair-19800912iv.jpg	0	2	0	2
30	File:BassersdorffSwissair-19800912iv.tif	0	2	0	2
31	File:BassersdorffSwissair-19800912v.jpg	0	2	0	2
32	File:BassersdorffSwissair-19800912v.tif	1	2	0	3
33	File:BassersdorffSwissair-19800912vi.jpg	0	2	0	2
34	File:BassersdorffSwissair-19800912vi.tif	0	2	0	2
35	File:BassersdorffSwissair-19810519i.jpg	0	2	0	2
36	File:BassersdorffSwissair-19810519i.tif	0	2	0	2
37	File:BassersdorffSwissair-19810519ii.jpg	0	2	0	2
38	File:BassersdorffSwissair-19810519ii.tif	0	2	0	2
39	File:BassersdorffSwissair-19810519iii.jpg	0	2	0	2
40	File:BassersdorffSwissair-19810519iii.tif	0	2	0	2
41	File:BassersdorffSwissair-19810519iv.jpg	0	2	0	2
42	File:BassersdorffSwissair-19810519iv.tif	0	2	0	2
43	File:BassersdorffSwissair-19810519v.jpg	0	2	0	2
44	File:BassersdorffSwissair-19810519v.tif	0	2	0	2
45	File:BassersdorffSwissair-19830814i.jpg	0	2	0	2
46	File:BassersdorffSwissair-19830814i.tif	1	2	0	3
47	File:BassersdorffSwissair-19890503i.jpg	0	2	0	2
48	File:BassersdorffSwissair-19890503i.tif	0	2	0	2
49	File:BassersdorffSwissair-19890503ii.jpg	0	2	0	2
50	File:BassersdorffSwissair-19890503ii.tif	0	2	0	2
51	File:BassersdorffSwissair-19900809i.jpg	0	2	0	2
52	File:BassersdorffSwissair-19900809i.tif	0	2	0	2
53	File:BassersdorffSwissair-19940815i.jpg	0	2	0	2
54	File:BassersdorffSwissair-19940815i.tiff	0	2	0	2
55	File:BassersdorffSwissair-19950503i.jpg	0	2	0	2
56	File:BassersdorffSwissair-19950503i.tif	0	2	0	2
57	File:BassersdorffSwissair-19960614i.jpg	0	2	0	2
58	File:BassersdorffSwissair-19960614i.tif	0	2	0	2
59	File:BassersdorffSwissair-19960614ii.jpg	0	2	0	2
60	File:BassersdorffSwissair-19960614ii.tif	0	2	0	2
61	File:BassersdorffSwissair-19960715i.jpg	0	2	0	2
62	File:BassersdorffSwissair-19960715i.tif	0	2	0	2
63	File:BassersdorffSwissair-19990825i.jpg	0	2	0	2
64	File:BassersdorffSwissair-19990825i.tif	0	2	0	2
65	File:BassersdorffSwissair-20000523i.jpg	0	2	0	2
66	File:BassersdorffSwissair-20000523i.tif	0	2	0	2
67	File:BassersdorffSwissair-20010605i.jpg	0	2	0	2
68	File:BassersdorffSwissair-20010605i.tif	0	2	0	2
69	File:BassersdorffSwissair-20100708i.jpg	0	2	0	2
70	File:BassersdorffSwissair-20100708i.tif	0	2	0	2
71	File:BassersdorffWFriedli-19470728i.jpg	0	2	0	2
72	File:BassersdorffWFriedli-19470728i.tif	1	2	0	3
73	File:BassersdorffWFriedli-195709i.jpg	0	2	0	2
74	File:BassersdorffWFriedli-195709i.tif	0	2	0	2
75	File:Bellechasse 1987.jpg	0	2	0	2
