date	user_typology	pages
2016-04	regiregistered	0
2016-05	regiregistered	0
2016-06	regiregistered	2
2016-07	regiregistered	5
2016-08	regiregistered	4
2016-09	regiregistered	19
2016-10	regiregistered	6
2016-11	regiregistered	4
2016-12	regiregistered	5
2017-01	regiregistered	7
2017-02	regiregistered	6
2017-03	regiregistered	6
2017-04	regiregistered	7
2017-05	regiregistered	11
2017-06	regiregistered	96
2017-07	regiregistered	310
2017-08	regiregistered	79
2017-09	regiregistered	23
2017-10	regiregistered	26
2017-11	regiregistered	18
2017-12	regiregistered	34
2018-01	regiregistered	45
2018-02	regiregistered	49
2018-03	regiregistered	24
2018-04	regiregistered	30
2018-05	regiregistered	28
2018-06	regiregistered	62
2018-07	regiregistered	40
2018-08	regiregistered	40
2016-04	anonymous	0
2016-05	anonymous	0
2016-06	anonymous	0
2016-07	anonymous	0
2016-08	anonymous	0
2016-09	anonymous	0
2016-10	anonymous	0
2016-11	anonymous	0
2016-12	anonymous	0
2017-01	anonymous	1
2017-02	anonymous	1
2017-03	anonymous	0
2017-04	anonymous	1
2017-05	anonymous	0
2017-06	anonymous	1
2017-07	anonymous	3
2017-08	anonymous	0
2017-09	anonymous	3
2017-10	anonymous	1
2017-11	anonymous	1
2017-12	anonymous	0
2018-01	anonymous	1
2018-02	anonymous	2
2018-03	anonymous	2
2018-04	anonymous	1
2018-05	anonymous	2
2018-06	anonymous	0
2018-07	anonymous	3
2018-08	anonymous	0
2016-04	bot	0
2016-05	bot	0
2016-06	bot	0
2016-07	bot	0
2016-08	bot	0
2016-09	bot	0
2016-10	bot	0
2016-11	bot	2
2016-12	bot	0
2017-01	bot	0
2017-02	bot	0
2017-03	bot	0
2017-04	bot	0
2017-05	bot	0
2017-06	bot	0
2017-07	bot	5
2017-08	bot	0
2017-09	bot	1
2017-10	bot	1
2017-11	bot	3
2017-12	bot	0
2018-01	bot	0
2018-02	bot	0
2018-03	bot	3
2018-04	bot	1
2018-05	bot	1
2018-06	bot	6
2018-07	bot	1
2018-08	bot	0
