9.0	6.0	9.0_6.0
9.0	7.0	9.0_7.0
9.0	8.0	9.0_8.0
9.0	9.0	9.0_9.0
13.0	9.0	13.0_9.0
13.0	10.0	13.0_10.0
15.0	10.0	15.0_10.0
8.5	12.0	9.0_12.0
24.5	19.0	25.0_19.0
20.0	30.0	20.0_30.0
18.0	13.0	18.0_13.0
12.0	10.0	12.0_10.0
10.5	15.0	11.0_15.0
7.0	6.0	7.0_6.0
9.0	14.0	9.0_14.0
4.5	6.0	5.0_6.0
21.0	30.0	21.0_30.0
9.0	13.0	9.0_13.0
8.5	8.5	9.0_9.0
6.0	8.0	6.0_8.0
23.0	23.0	23.0_23.0
10.0	15.0	10.0_15.0
18.0	24.0	18.0_24.0
12.0	17.0	12.0_17.0
6.0	7.0	6.0_7.0
6.0	9.0	6.0_9.0
6.0	6.0	6.0_6.0
10.0	12.0	10.0_12.0
12.7	17.78	13.0_18.0
9.0	12.0	9.0_12.0
2.4	3.6	2.0_4.0
8.5	10.0	9.0_10.0
13.0	18.0	13.0_18.0
30.0	30.0	30.0_30.0
