date	page_typo	pages
2016-04	article	0
2016-05	article	0
2016-06	article	0
2016-07	article	0
2016-08	article	0
2016-09	article	1
2016-10	article	1
2016-11	article	1
2016-12	article	1
2017-01	article	1
2017-02	article	1
2017-03	article	1
2017-04	article	1
2017-05	article	1
2017-06	article	1
2017-07	article	1
2017-08	article	1
2017-09	article	2
2017-10	article	3
2017-11	article	3
2017-12	article	4
2018-01	article	4
2018-02	article	4
2018-03	article	4
2018-04	article	5
2018-05	article	5
2018-06	article	5
2018-07	article	5
2018-08	article	5
2016-04	category	0
2016-05	category	0
2016-06	category	0
2016-07	category	0
2016-08	category	0
2016-09	category	0
2016-10	category	0
2016-11	category	0
2016-12	category	0
2017-01	category	0
2017-02	category	0
2017-03	category	0
2017-04	category	0
2017-05	category	0
2017-06	category	0
2017-07	category	0
2017-08	category	0
2017-09	category	0
2017-10	category	0
2017-11	category	1
2017-12	category	2
2018-01	category	2
2018-02	category	2
2018-03	category	2
2018-04	category	2
2018-05	category	2
2018-06	category	2
2018-07	category	2
2018-08	category	2
2016-04	file	0
2016-05	file	0
2016-06	file	0
2016-07	file	0
2016-08	file	0
2016-09	file	0
2016-10	file	0
2016-11	file	0
2016-12	file	0
2017-01	file	0
2017-02	file	1
2017-03	file	1
2017-04	file	12
2017-05	file	13
2017-06	file	68
2017-07	file	217
2017-08	file	219
2017-09	file	220
2017-10	file	227
2017-11	file	228
2017-12	file	287
2018-01	file	301
2018-02	file	368
2018-03	file	385
2018-04	file	385
2018-05	file	393
2018-06	file	395
2018-07	file	399
2018-08	file	399
2016-04	user_page	1
2016-05	user_page	1
2016-06	user_page	2
2016-07	user_page	5
2016-08	user_page	6
2016-09	user_page	7
2016-10	user_page	7
2016-11	user_page	7
2016-12	user_page	7
2017-01	user_page	8
2017-02	user_page	8
2017-03	user_page	10
2017-04	user_page	13
2017-05	user_page	13
2017-06	user_page	21
2017-07	user_page	41
2017-08	user_page	49
2017-09	user_page	50
2017-10	user_page	51
2017-11	user_page	52
2017-12	user_page	53
2018-01	user_page	54
2018-02	user_page	56
2018-03	user_page	57
2018-04	user_page	61
2018-05	user_page	62
2018-06	user_page	62
2018-07	user_page	62
2018-08	user_page	62
2016-04	wikiproject	0
2016-05	wikiproject	0
2016-06	wikiproject	0
2016-07	wikiproject	1
2016-08	wikiproject	1
2016-09	wikiproject	2
2016-10	wikiproject	2
2016-11	wikiproject	3
2016-12	wikiproject	3
2017-01	wikiproject	7
2017-02	wikiproject	7
2017-03	wikiproject	12
2017-04	wikiproject	13
2017-05	wikiproject	13
2017-06	wikiproject	18
2017-07	wikiproject	30
2017-08	wikiproject	32
2017-09	wikiproject	33
2017-10	wikiproject	33
2017-11	wikiproject	34
2017-12	wikiproject	35
2018-01	wikiproject	41
2018-02	wikiproject	53
2018-03	wikiproject	58
2018-04	wikiproject	59
2018-05	wikiproject	61
2018-06	wikiproject	61
2018-07	wikiproject	61
2018-08	wikiproject	61
