date	user_typology	pages
2016-04	registered	0
2016-05	registered	0
2016-06	registered	0
2016-07	registered	1
2016-08	registered	2
2016-09	registered	4
2016-10	registered	7
2016-11	registered	1
2016-12	registered	2
2017-01	registered	3
2017-02	registered	6
2017-03	registered	7
2017-04	registered	13
2017-05	registered	5
2017-06	registered	19
2017-07	registered	66
2017-08	registered	38
2017-09	registered	22
2017-10	registered	9
2017-11	registered	21
2017-12	registered	23
2018-01	registered	28
2018-02	registered	40
2018-03	registered	45
2018-04	registered	19
2018-05	registered	18
2018-06	registered	16
2018-07	registered	13
2018-08	registered	9
2016-04	anonymous	0
2016-05	anonymous	0
2016-06	anonymous	0
2016-07	anonymous	0
2016-08	anonymous	0
2016-09	anonymous	0
2016-10	anonymous	0
2016-11	anonymous	1
2016-12	anonymous	0
2017-01	anonymous	0
2017-02	anonymous	0
2017-03	anonymous	0
2017-04	anonymous	1
2017-05	anonymous	0
2017-06	anonymous	1
2017-07	anonymous	1
2017-08	anonymous	0
2017-09	anonymous	1
2017-10	anonymous	0
2017-11	anonymous	1
2017-12	anonymous	2
2018-01	anonymous	0
2018-02	anonymous	0
2018-03	anonymous	2
2018-04	anonymous	0
2018-05	anonymous	1
2018-06	anonymous	0
2018-07	anonymous	1
2018-08	anonymous	1
2016-04	bot	0
2016-05	bot	0
2016-06	bot	0
2016-07	bot	1
2016-08	bot	0
2016-09	bot	1
2016-10	bot	0
2016-11	bot	1
2016-12	bot	0
2017-01	bot	2
2017-02	bot	0
2017-03	bot	1
2017-04	bot	2
2017-05	bot	0
2017-06	bot	7
2017-07	bot	53
2017-08	bot	34
2017-09	bot	19
2017-10	bot	22
2017-11	bot	13
2017-12	bot	15
2018-01	bot	27
2018-02	bot	35
2018-03	bot	27
2018-04	bot	28
2018-05	bot	27
2018-06	bot	13
2018-07	bot	13
2018-08	bot	8
