page	p1	p2	media_pv	file_per_page	page_type
/wiki/User:OgreBot/Uploads_by_new_users/2017_July_10_21:00	User:OgreBot/Uploads_by_new_users/2017_July_10_21:00	User:OgreBot/Uploads by new users/2017 July 10 21:00	692.9166667	4	user_page
/wiki/Category:Research	Category:Research	Category:Research	413.5833333	1	category
/wiki/Fishing_vessels_of_Norway	Fishing_vessels_of_Norway	Fishing vessels of Norway	339.1666667	1	article/to_check
/wiki/Ernst_Haeckel	Ernst_Haeckel	Ernst Haeckel	336.5	1	article/to_check
/wiki/Potsdam	Potsdam	Potsdam	264.6666667	2	article/to_check
/wiki/User:Henxter/volglijst_9-9-17	User:Henxter/volglijst_9-9-17	User:Henxter/volglijst 9-9-17	131.5	1	user_page
/wiki/Mont_Blanc	Mont_Blanc	Mont Blanc	89.88888889	2	article/to_check
/wiki/User:Shonagon/test2	User:Shonagon/test2	User:Shonagon/test2	74.9	2	user_page
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_April_7	Commons:WikiProject_Aviation/recent_uploads/2018_April_7	Commons:WikiProject Aviation/recent uploads/2018 April 7	42.33333333	1	wikiproject
/wiki/File:ETH-BIB-Internationaler_Mathematikerkongress,_Zürich_1932-Portrait-Portr_10680-C-FL.tif	File:ETH-BIB-Internationaler_Mathematikerkongress,_Zürich_1932-Portrait-Portr_10680-C-FL.tif	File:ETH-BIB-Internationaler Mathematikerkongress, Zürich 1932-Portrait-Portr 10680-C-FL.tif	39.28571429	1	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_December_6	Commons:WikiProject_Aviation/recent_uploads/2017_December_6	Commons:WikiProject Aviation/recent uploads/2017 December 6	34.28571429	2	wikiproject
/wiki/File:Bachtelturm_1953.jpg	File:Bachtelturm_1953.jpg	File:Bachtelturm 1953.jpg	34	1	file
/wiki/Category:Max_Frisch	Category:Max_Frisch	Category:Max Frisch	33.5	1	category
/wiki/File:Leo_Wehrli_-_Moulin_Bornu_von_Sueden.jpg	File:Leo_Wehrli_-_Moulin_Bornu_von_Sueden.jpg	File:Leo Wehrli - Moulin Bornu von Sueden.jpg	32	1	file
/wiki/User:Iranianson	User:Iranianson	User:Iranianson	30.63888889	9	user_page
/wiki/File:Albert_Volkart_-_ETH_BIB_Portr_02828_(Johannes_Meiner)_(cropped).jpg	File:Albert_Volkart_-_ETH_BIB_Portr_02828_(Johannes_Meiner)_(cropped).jpg	File:Albert Volkart - ETH BIB Portr 02828 (Johannes Meiner) (cropped).jpg	28.23076923	1	file
/wiki/User:OgreBot/Uploads_by_new_users/2017_June_08_15:00	User:OgreBot/Uploads_by_new_users/2017_June_08_15:00	User:OgreBot/Uploads by new users/2017 June 08 15:00	27.15384615	4	user_page
/wiki/File:ETH-BIB-Bernoulli,_Daniel_(1700-1782)-Portrait-Portr_10971.tif_(cropped).jpg	File:ETH-BIB-Bernoulli,_Daniel_(1700-1782)-Portrait-Portr_10971.tif_(cropped).jpg	File:ETH-BIB-Bernoulli, Daniel (1700-1782)-Portrait-Portr 10971.tif (cropped).jpg	25	2	file
/wiki/File:ETH-BIB-Bachtel-Kulm_mit_Glarner_Alpen-LBS_H1-015313_crop.jpg	File:ETH-BIB-Bachtel-Kulm_mit_Glarner_Alpen-LBS_H1-015313_crop.jpg	File:ETH-BIB-Bachtel-Kulm mit Glarner Alpen-LBS H1-015313 crop.jpg	22	1	file
/wiki/Commons:WikiProject_Aviation/recent_uploads/2017_December_18	Commons:WikiProject_Aviation/recent_uploads/2017_December_18	Commons:WikiProject Aviation/recent uploads/2017 December 18	21	2	wikiproject
/wiki/Commons:WikiProject_Aviation/recent_uploads/2018_February_9	Commons:WikiProject_Aviation/recent_uploads/2018_February_9	Commons:WikiProject Aviation/recent uploads/2018 February 9	20.6	2	wikiproject
/wiki/File:ETH-BIB-Internationaler_Mathematikerkongress,_Zürich_1932-Portrait-Portr_10680-FL.tif	File:ETH-BIB-Internationaler_Mathematikerkongress,_Zürich_1932-Portrait-Portr_10680-FL.tif	File:ETH-BIB-Internationaler Mathematikerkongress, Zürich 1932-Portrait-Portr 10680-FL.tif	19.14285714	1	file
/wiki/User:OgreBot/Uploads_by_new_users/2017_July_08_15:00	User:OgreBot/Uploads_by_new_users/2017_July_08_15:00	User:OgreBot/Uploads by new users/2017 July 08 15:00	19	7	user_page
