source	target	label
Convair_440_(Swissair)_051932.jpg	1967 in aviation in Switzerland	1967 in aviation in Switzerland
Convair_440_(Swissair)_051932.jpg	Convair 440 at Zurich International Airport	Convair 440 at Zurich International Airport
Convair_440_(Swissair)_051932.jpg	Convair 440 of Swissair	Convair 440 of Swissair
Convair_440_(Swissair)_051932.jpg	Loading (air cargo)	Loading (air cargo)
Convair_440_(Swissair)_051932.jpg	Photographs by Swissair	Photographs by Swissair
Convair_440_(Swissair)_051932.jpg	Swissair aircraft at Zurich International Airport	Swissair aircraft at Zurich International Airport
Eth_bibliothek_rot_transp.png	Library symbols	Library symbols
Eth_bibliothek_rot_transp.png	Logos associated with education	Logos associated with education
Eth_bibliothek_rot_transp.png	PD ineligible	PD ineligible
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	Aerial photographs by Walter Mittelholzer	Aerial photographs by Walter Mittelholzer
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	ETH-BIB Mittelholzer-Persia flight 1924-1925	ETH-BIB Mittelholzer-Persia flight 1924-1925
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	Mountains of Iran	Mountains of Iran
ETH-BIB--Kehris?-_Kohrudgebirge_aus_3000_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0146-AL-FL.tif	PD-old-75	PD-old-75
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	Aerial photographs by Walter Mittelholzer	Aerial photographs by Walter Mittelholzer
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	ETH-BIB Mittelholzer-Persia flight 1924-1925	ETH-BIB Mittelholzer-Persia flight 1924-1925
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	Mountains of Iran	Mountains of Iran
ETH-BIB--Kehris?-_Kohrudgebirge_von_Norden_aus_2600_m_Höhe-Persienflug_1924-1925-LBS_MH02-02-0145-AL-FL.tif	PD-old-75	PD-old-75
ETH-BIB--Mittelmeerflug_1928-.tif	All media needing categories as of 2016	All media needing categories as of 2016
ETH-BIB--Mittelmeerflug_1928-.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB--Mittelmeerflug_1928-.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB--Mittelmeerflug_1928-.tif	ETH-BIB Mittelholzer-Mediterranean flight 1928	ETH-BIB Mittelholzer-Mediterranean flight 1928
ETH-BIB--Mittelmeerflug_1928-.tif	Files with no machine-readable author	Files with no machine-readable author
ETH-BIB--Mittelmeerflug_1928-.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB--Mittelmeerflug_1928-.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB--Mittelmeerflug_1928-.tif	Media needing categories as of 23 December 2016	Media needing categories as of 23 December 2016
ETH-BIB--Mittelmeerflug_1928-.tif	PD-old-75	PD-old-75
ETH-BIB--Persienflug_1924-1925-.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB--Persienflug_1924-1925-.tif	Artwork template with implicit creator	Artwork template with implicit creator
ETH-BIB--Persienflug_1924-1925-.tif	Baghdad in the 1920s	Baghdad in the 1920s
ETH-BIB--Persienflug_1924-1925-.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB--Persienflug_1924-1925-.tif	ETH-BIB Mittelholzer-Persia flight 1924-1925	ETH-BIB Mittelholzer-Persia flight 1924-1925
ETH-BIB--Persienflug_1924-1925-.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB--Persienflug_1924-1925-.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB--Persienflug_1924-1925-.tif	PD-old-75	PD-old-75
ETH-BIB--Weitere-.tif	Aerial photographs by Walter Mittelholzer	Aerial photographs by Walter Mittelholzer
ETH-BIB--Weitere-.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB--Weitere-.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB--Weitere-.tif	ETH-BIB Mittelholzer-Various flights abroad	ETH-BIB Mittelholzer-Various flights abroad
ETH-BIB--Weitere-.tif	Files with no machine-readable author	Files with no machine-readable author
ETH-BIB--Weitere-.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB--Weitere-.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB--Weitere-.tif	PD-old-75	PD-old-75
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	Bushehr	Bushehr
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	CC-PD-Mark	CC-PD-Mark
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	ETH-BIB Mittelholzer-Persia flight 1924-1925	ETH-BIB Mittelholzer-Persia flight 1924-1925
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	GWToolset Batch Upload	GWToolset Batch Upload
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	Junkers A 20	Junkers A 20
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	Media contributed by the ETH-Bibliothek	Media contributed by the ETH-Bibliothek
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0207-AL-FL.tif	PD-old-75	PD-old-75
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0208-AL-FL.tif	All media supported by Wikimedia CH	All media supported by Wikimedia CH
ETH-BIB-A_20_auf_Flugplatz_von_Buschehr-Persienflug_1924-1925-LBS_MH02-02-0208-AL-FL.tif	Black and white photographs of groups	Black and white photographs of groups
