File:Aettenschwil 1953.jpg	2017-06-07T18:55:16Z	Aerial photographs of the canton of Aargau|Aettenschwil|All media supported by Wikimedia CH|Media contributed by the ETH-Bibliothek	CC BY-SA 4.0	<span class="fn value">Werner Friedli</span>	Aerial photograph of Aettenschwil, 1953
File:AJZ Zürich ETH Bildarchiv Com L30-0048-0825.tif	2018-01-09T19:14:40Z	1981|All media supported by Wikimedia CH|Demonstrations and protests in Zürich|Limmatstrasse|Media contributed by the ETH-Bibliothek	CC BY-SA 4.0	<span class="fn value">Patrick Lüthy</span>	AJZ: Autonomes Jugendzentrum
File:BassersdorffJVogt-19890513i.jpg	2018-01-20T16:55:56Z	Aerial photographs of Bassersdorf|All media supported by Wikimedia CH|Historical photographs of Bassersdorf|May 1989 in Switzerland|Media contributed by the ETH-Bibliothek|Photographs taken on 1989-05-13|Uploads by User:Abderitestatos	CC BY-SA 4.0	<span class="fn value">Jules Vogt</span>	<span class="description">Bassersdorff; Luftaufnahme aus südwestlicher Richtung.</span>
File:BassersdorffJVogt-19890513i.tif	2018-01-20T16:54:40Z	Aerial photographs of Bassersdorf|All media supported by Wikimedia CH|Historical photographs of Bassersdorf|May 1989 in Switzerland|Media contributed by the ETH-Bibliothek|Photographs taken on 1989-05-13|TIFF files|Uploads by User:Abderitestatos	CC BY-SA 4.0	<span class="fn value">Jules Vogt</span>	<span class="description">Bassersdorff; Luftaufnahme aus südwestlicher Richtung.</span>
File:BassersdorffSchatz-19801028iv.jpg	2018-01-20T01:29:26Z	1980 in Switzerland|Aerial photographs by Swissair|Aerial photographs of Bassersdorf|All media supported by Wikimedia CH|Historical photographs of Bassersdorf|Media contributed by the ETH-Bibliothek|Photographs taken on 1980-10-28|Uploads by User:Abderitestatos	CC BY-SA 4.0	<span class="fn value">Swissair Photo AG</span>	<span class="description">Blick auf Hub und Schatz ob Bassersdorff; Luftaufnahme aus westlicher Richtung.</span>
File:BassersdorffSchatz-19810519i.jpg	2018-01-20T01:46:18Z	1981 in Switzerland|Aerial photographs by Swissair|Aerial photographs of Bassersdorf|All media supported by Wikimedia CH|Historical photographs of Bassersdorf|Media contributed by the ETH-Bibliothek|Photographs taken on 1981-05-19|Uploads by User:Abderitestatos	CC BY-SA 4.0	<span class="fn value">Swissair Photo AG</span>	<span class="description">Blick über den Schatz ob Bassersdorff; Luftaufnahme östlicher Richtung.</span>
File:BassersdorffSchatz-19810519i.tif	2018-01-20T01:44:57Z	1981 in Switzerland|Aerial photographs by Swissair|Aerial photographs of Bassersdorf|All media supported by Wikimedia CH|Historical photographs of Bassersdorf|Media contributed by the ETH-Bibliothek|Photographs taken on 1981-05-19|TIFF files|Uploads by User:Abderitestatos	CC BY-SA 4.0	<span class="fn value">Swissair Photo AG</span>	<span class="description">Blick über den Schatz ob Bassersdorff; Luftaufnahme östlicher Richtung.</span>
File:BassersdorffSchatz-19810519ii.jpg	2018-01-20T14:22:15Z	1981 in Switzerland|Aerial photographs by Swissair|Aerial photographs of Bassersdorf|All media supported by Wikimedia CH|Historical photographs of Bassersdorf|Media contributed by the ETH-Bibliothek|Photographs taken on 1981-05-19|Uploads by User:Abderitestatos	CC BY-SA 4.0	<span class="fn value">Swissair Photo AG</span>	<span class="description">Blick über Schatz und Hub ob Bassersdorff; Luftaufnahme aus östlicher Richtung.</span>
File:BassersdorffSchatz-19810519ii.tif	2018-01-20T14:20:48Z	1981 in Switzerland|Aerial photographs by Swissair|Aerial photographs of Bassersdorf|All media supported by Wikimedia CH|Historical photographs of Bassersdorf|Media contributed by the ETH-Bibliothek|Photographs taken on 1981-05-19|TIFF files|Uploads by User:Abderitestatos	CC BY-SA 4.0	<span class="fn value">Swissair Photo AG</span>	<span class="description">Blick über Schatz und Hub ob Bassersdorff; Luftaufnahme aus östlicher Richtung.</span>
File:BassersdorffSwissair-19610618i.jpg	2018-01-08T18:13:37Z	1961 in Switzerland|Aerial photographs by Swissair|All media supported by Wikimedia CH|Black and white aerial photographs of Bassersdorf|Black and white aerial photographs of Nürensdorf|Historical black and white photographs of Bassersdorf|Lindau ZH|Media contributed by the ETH-Bibliothek|Photographs taken on 1961-06-18|Uploads by User:Abderitestatos|Wangen-Brüttisellen	CC BY-SA 4.0	<span class="fn value">Swissair Photo AG</span>	<span class="description">Bassersdorf, Nürensdorf, Lindau, Wangen-Brüttisellen; Luftaufnahme, senkrecht.</span>
