id	indentation	category	count
0	2	Images from the Rijksdienst voor het Cultureel Erfgoed	486068
1	2	Images from Nationaal Archief	349967
2	2	Media donated by Naturalis Biodiversity Center	277581
3	1	Images from the National Archives and Records Administration	206593
4	0	US National Archives location: other	96494
5	2	westmidlandspolice	87111
6	2	Images from the German Federal Archive	83424
7	2	Images from the Deutsche Fotothek	62105
8	2	Media contributed by the ETH-Bibliothek	52077
9	2	Images from the Tropenmuseum	49993
10	2	Images from Livrustkammaren och Skoklosters slott med Stiftelsen Hallwylska museet	46284
11	2	Images from the Veikkos Archive	43477
12	2	Images from the State Library of Queensland	23700
13	2	Media from BEIC	19367
14	1	Images from Livrustkammaren	18462
15	2	Images uploaded as part of NLW - WMUK collaboration	16797
16	2	Media contributed by Koninklijke Bibliotheek	13105
17	1	Media contributed by LSH: 2013-10	12582
18	2	Media contributed by the Swiss National Library	11954
19	2	Media contributed by the Gerald R. Ford Presidential Library and Museum	11370
20	2	Images from the Bulgarian Archives State Agency	11248
21	2	PD-Art (Yorck Project)	10535
22	2	Media contributed by the Brooklyn Museum	10170
23	2	Media contributed by the Archives municipales de Toulouse	9701
24	2	LGBT Free Media Collective	9381
25	2	Media from ZooKeys	6739
26	2	Supported by Projet Phoebus	5943
27	2	Media contributed by KITLV	5588
28	2	Media contributed by the Swiss Federal Archives	5444
29	2	Media from Museo Nazionale della Scienza e della Tecnologia (Milan)	5415
30	2	GLAM National Library of Israel	4768
31	2	Media from the National Museums of World Culture	4520
32	2	Media contributed by the Bibliothèque interuniversitaire de santé	3803
33	2	Images from Nordiska museet	3662
34	2	Media contributed by the Archives cantonales jurassiennes	3299
35	2	Images donated as part of the collaboration project between National Library of Israel and Wikimedia Israel	3240
36	2	Media contributed by the Library of the National Congress of Chile	2959
37	2	Pearson Scott Foresman publisher	2736
38	2	Files from the Nationaal Museum van Wereldculturen	2732
39	2	Media from Atlas of Mutual Heritage	2481
40	2	Media from the Museum of World Culture (Göteborg)	2466
41	2	Files from the Expedition Wikipedia project	2420
42	2	Media contributed by the Musées de la Haute-Saône	2356
43	2	Photos by EnergieAgentur.NRW	2254
44	2	Images from Geographicus	2192
45	2	Fonds Berthelé - Archives municipales de Toulouse	2149
46	2	Digitization of the image stock of Wilhelm Walther	2141
47	2	Images from the Peace Palace Library	2063
48	2	Images from RIA Novosti	1998
49	2	Media contributed by Zentralbibliothek Solothurn	1645
50	2	Birdwatching Rijksmuseum	1631
51	2	Media from Netwerk Oorlogsbronnen	1593
52	2	Media from Etnografiska museet	1478
53	2	Books provided by the BNF	1440
54	1	Media contributed by SMVK 2016-12	1285
55	2	Media donated by Nederlands Instituut voor Militaire Historie	1243
