date	typology	pages
2018-08	article	3197
2018-07	article	3113
2018-06	article	2995
2018-05	article	2849
2018-04	article	2603
2018-03	article	2431
2018-02	article	2301
2018-01	article	2081
2017-12	article	1873
2017-11	article	1705
2017-10	article	1505
2017-09	article	1322
2017-08	article	1160
2017-07	article	951
2017-06	article	748
2017-05	article	635
2017-04	article	533
2017-03	article	436
2017-02	article	369
2017-01	article	301
2016-12	article	229
2016-11	article	180
2016-10	article	136
2016-09	article	103
2016-08	article	78
2016-07	article	62
2016-05	article	54
2016-06	article	54
2016-04	article	0
2018-08	user_page	1651
2018-07	user_page	1624
2018-06	user_page	1588
2018-05	user_page	1540
2018-04	user_page	1475
2018-03	user_page	1399
2018-02	user_page	1318
2018-01	user_page	1194
2017-12	user_page	1041
2017-11	user_page	790
2017-10	user_page	380
2017-09	user_page	282
2017-08	user_page	194
2017-07	user_page	121
2017-05	user_page	33
2017-06	user_page	33
2017-02	user_page	31
2017-03	user_page	31
2017-04	user_page	31
2016-09	user_page	24
2016-10	user_page	24
2016-11	user_page	24
2016-12	user_page	24
2017-01	user_page	24
2016-07	user_page	18
2016-08	user_page	18
2016-06	user_page	12
2016-04	user_page	0
2016-05	user_page	0
2018-08	wikipedia_page	105
2018-07	wikipedia_page	81
2018-06	wikipedia_page	61
2018-03	wikipedia_page	41
2018-04	wikipedia_page	41
2018-05	wikipedia_page	41
2017-12	wikipedia_page	40
2018-01	wikipedia_page	40
2018-02	wikipedia_page	40
2017-08	wikipedia_page	39
2017-09	wikipedia_page	39
2017-10	wikipedia_page	39
2017-11	wikipedia_page	39
2017-07	wikipedia_page	38
2017-06	wikipedia_page	27
2017-05	wikipedia_page	26
2017-02	wikipedia_page	25
2017-03	wikipedia_page	25
2017-04	wikipedia_page	25
2017-01	wikipedia_page	21
2016-12	wikipedia_page	19
2016-11	wikipedia_page	18
2016-10	wikipedia_page	15
2016-08	wikipedia_page	6
2016-09	wikipedia_page	6
2016-07	wikipedia_page	4
2016-04	wikipedia_page	0
2016-05	wikipedia_page	0
2016-06	wikipedia_page	0
2016-05	discussion_page	0
2016-06	discussion_page	1
2016-07	discussion_page	1
2016-08	discussion_page	1
2016-09	discussion_page	2
2016-10	discussion_page	4
2016-11	discussion_page	4
2016-12	discussion_page	4
2017-01	discussion_page	4
2017-02	discussion_page	4
2017-03	discussion_page	4
2017-04	discussion_page	4
2017-05	discussion_page	4
2017-06	discussion_page	4
2017-07	discussion_page	4
2017-08	discussion_page	5
2017-09	discussion_page	5
2017-10	discussion_page	5
2017-11	discussion_page	5
2017-12	discussion_page	5
2018-01	discussion_page	5
2018-02	discussion_page	5
2018-03	discussion_page	5
2018-04	discussion_page	5
2018-05	discussion_page	5
2018-06	discussion_page	5
2018-07	discussion_page	6
2018-08	discussion_page	6
