date	user_typology	pages
2016-04	registered	0
2016-05	registered	0
2016-06	registered	2
2016-07	registered	11
2016-08	registered	7
2016-09	registered	14
2016-10	registered	23
2016-11	registered	23
2016-12	registered	20
2017-01	registered	36
2017-02	registered	36
2017-03	registered	35
2017-04	registered	48
2017-05	registered	77
2017-06	registered	86
2017-07	registered	340
2017-08	registered	321
2017-09	registered	248
2017-10	registered	293
2017-11	registered	293
2017-12	registered	375
2018-01	registered	410
2018-02	registered	436
2018-03	registered	298
2018-04	registered	343
2018-05	registered	306
2018-06	registered	406
2018-07	registered	306
2018-08	registered	408
2016-04	anonymous	0
2016-05	anonymous	0
2016-06	anonymous	0
2016-07	anonymous	0
2016-08	anonymous	1
2016-09	anonymous	8
2016-10	anonymous	9
2016-11	anonymous	16
2016-12	anonymous	18
2017-01	anonymous	19
2017-02	anonymous	33
2017-03	anonymous	20
2017-04	anonymous	35
2017-05	anonymous	22
2017-06	anonymous	27
2017-07	anonymous	44
2017-08	anonymous	61
2017-09	anonymous	66
2017-10	anonymous	58
2017-11	anonymous	81
2017-12	anonymous	75
2018-01	anonymous	69
2018-02	anonymous	128
2018-03	anonymous	79
2018-04	anonymous	110
2018-05	anonymous	106
2018-06	anonymous	111
2018-07	anonymous	101
2018-08	anonymous	100
2016-04	bot	0
2016-05	bot	0
2016-06	bot	0
2016-07	bot	0
2016-08	bot	0
2016-09	bot	2
2016-10	bot	1
2016-11	bot	4
2016-12	bot	6
2017-01	bot	8
2017-02	bot	8
2017-03	bot	6
2017-04	bot	4
2017-05	bot	5
2017-06	bot	7
2017-07	bot	70
2017-08	bot	82
2017-09	bot	88
2017-10	bot	122
2017-11	bot	123
2017-12	bot	133
2018-01	bot	132
2018-02	bot	156
2018-03	bot	144
2018-04	bot	215
2018-05	bot	220
2018-06	bot	251
2018-07	bot	195
2018-08	bot	237
