1	File:Dornier Do K ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-07.tiff	16236633	4909	3296
2	File:Dornier Do K ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-08.tiff	16363441	4934	3305
3	File:Dornier Do K ETH-BIB-Flugzeug am Boden-Inlandflüge-LBS MH05-72-09.tiff	16038713	4889	3269
4	File:Dornier Do K ETH-BIB-Gruppe Männer vor Flugzeug-Inlandflüge-LBS MH05-72-10.tiff	16197109	4900	3294
5	File:ETH-BIB - französische Flugzeuge am Kap Juby - Tschadseeflug 1930-31-LBS MH02-08-1076.tiff	53151424	4961	3563
6	File:ETH-BIB-(B-747-300-SUD) Buchs (Zürich) aus 500 m-Inlandflüge-LBS MH01-002881.tif	81850302	6030	4515
7	File:ETH-BIB--Abessinienflug 1934-.tif	65718479	4545	4813
8	File:ETH-BIB--Inlandflüge-.tif	67579701	5714	3935
9	File:ETH-BIB--Inlandflüge-LBS MH03-1559.tif	84580511	6397	4401
10	File:ETH-BIB--Kehris?- Kohrudgebirge aus 3000 m Höhe-Persienflug 1924-1925-LBS MH02-02-0146-AL-FL.tif	51621206	4961	3468
11	File:ETH-BIB--Kehris?- Kohrudgebirge von Norden aus 2600 m Höhe-Persienflug 1924-1925-LBS MH02-02-0145-AL-FL.tif	51085452	4961	3432
12	File:ETH-BIB--Kilimanjaroflug 1929-30-.tif	52372920	4961	3512
13	File:ETH-BIB--Mittelmeerflug 1928-.tif	47653457	4746	3338
14	File:ETH-BIB--Persienflug 1924-1925-.tif	66265472	5617	3932
15	File:ETH-BIB--Tschadseeflug 1930-31-.tif	54108401	4960	3626
16	File:ETH-BIB--Weitere-.tif	48615881	4918	3289
17	File:ETH-BIB-2 Männer, Fokker im Hintergrund-Tschadseeflug 1930-31-LBS MH02-08-0338.tif	54432286	4961	3651
18	File:ETH-BIB-A 20 auf Flugplatz von Buschehr-Persienflug 1924-1925-LBS MH02-02-0207-AL-FL.tif	52201618	4961	3507
19	File:ETH-BIB-A 20 auf Flugplatz von Buschehr-Persienflug 1924-1925-LBS MH02-02-0208-AL-FL.tif	49924518	4961	3354
20	File:ETH-BIB-Aadorf v. O. aus 500 m-Inlandflüge-LBS MH01-005727.tif	106049385	7049	5007
21	File:ETH-BIB-Aadorf v. S. O. aus 300 m-Inlandflüge-LBS MH01-002608.tif	82754125	6250	4404
22	File:ETH-BIB-Aadorf v. S. O. aus 500 m-Inlandflüge-LBS MH01-005726.tif	108141728	7093	5075
23	File:ETH-BIB-Aadorf v. S. O.-Inlandflüge-LBS MH01-006728.tif	75926584	6509	3880
24	File:ETH-BIB-Aadorf v. W. aus 600 m-Inlandflüge-LBS MH01-001931.tif	97917747	6852	4756
25	File:ETH-BIB-Aadorf v. W. aus 600 m-Inlandflüge-LBS MH01-001932.tif	98139135	6845	4771
26	File:ETH-BIB-Aadorf, Holzgeschäft Bachmann-Inlandflüge-LBS MH03-0001.tif	100990164	6768	4969
27	File:ETH-BIB-Aadorf, Kistenfabrik AG-Inlandflüge-LBS MH03-0002.tif	100483292	6738	4966
28	File:ETH-BIB-Aadorf, Kistenfabrik AG-Inlandflüge-LBS MH03-0003.tif	99739328	6728	4936
29	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0004.tif	93462216	6267	4966
30	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0005.tif	95657222	6314	5043
31	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0006.tif	94001004	6296	4971
32	File:ETH-BIB-Aadorf, Rolladenfabrik Griesser-Inlandflüge-LBS MH03-0007.tif	93908327	6288	4972
33	File:ETH-BIB-Aarau aus 400 m-Inlandflüge-LBS MH01-000509.tif	88002866	6511	4500
34	File:ETH-BIB-Aarau mit Stadthaus-Inlandflüge-LBS MH01-000115.tif	79524110	5643	4687
35	File:ETH-BIB-Aarau v. S. O. aus 500 m-Inlandflüge-LBS MH01-006041.tif	63802069	5570	3808
36	File:ETH-BIB-Aarau v. S. O. aus 600 m-Inlandflüge-LBS MH01-006040.tif	64442353	5571	3846
37	File:ETH-BIB-Aarau, Altstadt aus 200 m-Inlandflüge-LBS MH01-002220.tif	90878567	6417	4716
38	File:ETH-BIB-Aarau, Altstadt v. W. aus 500 m-Inlandflüge-LBS MH01-000507.tif	89290092	6616	4490
39	File:ETH-BIB-Aarau, Badeanstalt, E. W. Aarau-Inlandflüge-LBS MH01-006833.tif	85222102	6340	4473
40	File:ETH-BIB-Aarau, Bahnhof aus 100 m-Inlandflüge-LBS MH01-002194.tif	91875503	6649	4598
41	File:ETH-BIB-Aarau, Bahnhof aus 150 m-Inlandflüge-LBS MH01-002193.tif	93232651	6755	4596
42	File:ETH-BIB-Aarau, Bally Schuhfabrik, Küttingerstrasse 21-Inlandflüge-LBS MH03-1426.tif	88847973	6469	4571
43	File:ETH-BIB-Aarau, Betrieb an der Bachstrasse, Herosé-Stift-Inlandflüge-LBS MH03-0013.tif	101717190	6914	4897
44	File:ETH-BIB-Aarau, Dr. Lüscher-Inlandflüge-LBS MH03-0010.tif	92811744	6219	4969
45	File:ETH-BIB-Aarau, Eidgenössisches Turnfest Aarau-Inlandflüge-LBS MH01-006963.tif	45039187	4385	3412
46	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006962.tif	42827805	4347	3272
47	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006964.tif	43000371	4372	3267
48	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006965.tif	44707046	4368	3398
49	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006966.tif	96205498	6558	4882
50	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006967.tif	95679902	6605	4820
51	File:ETH-BIB-Aarau, Eidgenössisches Turnfest-Inlandflüge-LBS MH01-006968.tif	92977122	6547	4726
52	File:ETH-BIB-Aarau, Industriegebiet-Inlandflüge-LBS MH03-0016.tif	100782703	6852	4898
53	File:ETH-BIB-Aarau, Krematorium-Inlandflüge-LBS MH03-1516.tif	87785545	6407	4560
54	File:ETH-BIB-Aarau, Oehler & Cie Stahlguss-Inlandflüge-LBS MH03-0014.tif	101297590	6889	4896
55	File:ETH-BIB-Aarau, Schachen von West aus 600 m-Inlandflüge-LBS MH01-000508.tif	89756441	6649	4491
56	File:ETH-BIB-Aarau, Sprecher & Schuh AG Elektrotechnik-Inlandflüge-LBS MH03-0015.tif	102387112	6904	4938
57	File:ETH-BIB-Aarau, Stahlwerke Oehler & Co. links, Sprecher & Schuh rechts-Inlandflüge-LBS MH03-1684.tif	78222865	6088	4274
58	File:ETH-BIB-Aarau, Stahlwerke Oehler & Co.-Inlandflüge-LBS MH03-1699.tif	69260147	5833	3950
59	File:ETH-BIB-Aarau, Zeughaus Garage-Inlandflüge-LBS MH03-0009.tif	94508352	6419	4902
60	File:ETH-BIB-Aarau, Übersicht aus 500 m-Inlandflüge-LBS MH01-004511.tif	95084726	6707	4719
61	File:ETH-BIB-Aarau, Übersicht, Hungerberg, Schachen v. S. W. aus 600 m-Inlandflüge-LBS MH01-002657.tif	81056050	6238	4323
62	File:ETH-BIB-Aarau, Übersicht, Schachen v. S. W. aus 700 m-Inlandflüge-LBS MH01-002658.tif	81858542	6255	4354
63	File:ETH-BIB-Aarau-Inlandflüge-LBS MH01-000114.tif	59335652	4089	4824
64	File:ETH-BIB-Aarau-Inlandflüge-LBS MH01-000440.tif	95352497	6629	4788
65	File:ETH-BIB-Aarau-Inlandflüge-LBS MH01-008293.tif	95588399	6731	4728
66	File:ETH-BIB-Aarau-Inlandflüge-LBS MH03-1652.tif	79109823	6142	4287
67	File:ETH-BIB-Aarau-Torfeld, Oehler & Cie. AG, Maschinenfabrik & Eisengiesserei-Inlandflüge-LBS MH03-1604.tif	80022329	6155	4326
68	File:ETH-BIB-Aarberg v. W. aus 200 m-Inlandflüge-LBS MH01-002184.tif	91926009	6651	4602
69	File:ETH-BIB-Aarberg-Inlandflüge-LBS MH01-002185.tif	95294338	6759	4693
70	File:ETH-BIB-Aarburg aus 100 m-Inlandflüge-LBS MH01-004210.tif	69140576	5768	3989
71	File:ETH-BIB-Aarburg mit Born, Rothrist, Oftringen aus 3000 m-Inlandflüge-LBS MH01-002714.tif	83257445	6339	4371
72	File:ETH-BIB-Aarburg und Olten aus 300 m-Inlandflüge-LBS MH01-002732.tif	96215884	6826	4692
73	File:ETH-BIB-Aarburg v. N. O. aus 1000 m-Inlandflüge-LBS MH01-000808.tif	89421754	6650	4475
74	File:ETH-BIB-Aarburg v. S. aus 2000 m-Inlandflüge-LBS MH01-003266.tif	32081475	6779	4710
75	File:ETH-BIB-Aarburg v. S. aus 500 m-Inlandflüge-LBS MH01-000518.tif	85284518	6316	4493
76	File:ETH-BIB-Aarburg, Aare v. S. W- aus 500 m-Inlandflüge-LBS MH01-000493.tif	85201139	6346	4467
77	File:ETH-BIB-Aarburg, Brücken aus 200 m-Inlandflüge-LBS MH01-004211.tif	70027927	5848	3983
78	File:ETH-BIB-Aarburg, Holzhandlung-Inlandflüge-LBS MH03-0017.tif	101213975	6919	4870
79	File:ETH-BIB-Aarburg, Holzhandlung-Inlandflüge-LBS MH03-0018.tif	102330224	6958	4897
80	File:ETH-BIB-Aarburg, Kreuzstrasse-Bernstrasse bei-Inlandflüge-LBS MH03-0020.tif	97803344	6858	4748
81	File:ETH-BIB-Aarburg, Oftringen, Rothrist v. S. aus 3000 m-Inlandflüge-LBS MH01-003180.tif	102888568	7085	4834
82	File:ETH-BIB-Aarburg, Oftringen, Wartburghöf, Sälischloss-Inlandflüge-LBS MH01-003280.tif	87882411	6499	4501
83	File:ETH-BIB-Aarburg, Olten aus 600 m-Inlandflüge-LBS MH01-000495.tif	72254071	4214	5703
